# status	score	title	detail
recorded	0.0609	Latex labels after the fact	
recorded	0.0578	Label with text wrapping	
recorded	0.0442	Axis titles and subtitles	
recorded	0.035	Legend with scalar colors	
recorded	0.035	Legend with scalar colors and alpha	
recorded	0.0335	Rich text	
recorded	0.0304	PolarAxis radial shift and clip	
recorded	0.0289	Figure and Subplots	
recorded	0.0286	menus	
recorded	0.0286	Legend update	
recorded	0.0272	PolarAxis limits	
recorded	0.026	Button - Slider - Toggle - Textbox	
recorded	0.0249	Legend overrides	
recorded	0.0153	Categorical Colorbar with nan_color	
recorded	0.0139	Axis limits with translation, scaling and transform_func	
recorded	0.013	datashader	
recorded	0.013	Colorbar mapping to contourf	
recorded	0.0106	Legend draw order	
recorded	0.0104	Axis yticksmirrored	
recorded	0.0087	Axis xticksmirrored	
recorded	0.0067	Toggle orientation	
recorded	0.0046	Checkbox	
recorded	0.0028	Figure with boxes	
skipped	-	Figure with Blocks	skip pattern: surface(
skipped	-	Legend Image-, Mesh- and MeshScatterElements	skip pattern: meshscatter
skipped	-	Legend visibility toggles	skip pattern: Stepper
skipped	-	LaTeXStrings in Axis3 plots	skip pattern: surface!
skipped	-	PolarAxis decorations	skip pattern: surface!
skipped	-	PolarAxis ticks	skip pattern: Stepper
skipped	-	Axis3 axis reversal	skip pattern: surface!
skipped	-	Axis3 fullbox	skip pattern: Axis3
skipped	-	Axis3 viewmodes, xreversed, aspect, perspectiveness	skip pattern: Axis3
skipped	-	Axis3 clipping	skip pattern: meshscatter
skipped	-	Colorbar for recipes	skip pattern: volume
skipped	-	Textbox	skip list
# REFPASS passed=21/23 scored=23 recorded=23 errored=0 unsupported=0 rate=0.913
